month,entity,division,journal_id,journal_type,account,debit,credit,counterparty,description,cash_flow_category,product,customer
2023-09,DE01,Hardware,ECL-2023-09-DE01-Hardware,provision,6050_CREDIT_LOSS_EXPENSE,7960.95,0.0,PROVISION,Expected credit loss allowance,,,
2023-09,DE01,Hardware,ECL-2023-09-DE01-Hardware,provision,1190_CREDIT_LOSS_ALLOWANCE,0.0,7960.95,PROVISION,Expected credit loss allowance,,,
2023-09,DE01,Hardware,ECLCLOSE-2023-09-DE01-Hardware,closing,6050_CREDIT_LOSS_EXPENSE,0.0,7960.95,PROVISION,Close Expected credit loss allowance,,,
2023-09,DE01,Hardware,ECLCLOSE-2023-09-DE01-Hardware,closing,3200_RETAINED_EARNINGS,7960.95,0.0,PROVISION,Close Expected credit loss allowance,,,
2023-09,DE01,Software,ECL-2023-09-DE01-Software,provision,6050_CREDIT_LOSS_EXPENSE,1043.04,0.0,PROVISION,Expected credit loss allowance,,,
2023-09,DE01,Software,ECL-2023-09-DE01-Software,provision,1190_CREDIT_LOSS_ALLOWANCE,0.0,1043.04,PROVISION,Expected credit loss allowance,,,
2023-09,DE01,Software,ECLCLOSE-2023-09-DE01-Software,closing,6050_CREDIT_LOSS_EXPENSE,0.0,1043.04,PROVISION,Close Expected credit loss allowance,,,
2023-09,DE01,Software,ECLCLOSE-2023-09-DE01-Software,closing,3200_RETAINED_EARNINGS,1043.04,0.0,PROVISION,Close Expected credit loss allowance,,,
2023-09,ES01,Events,ECL-2023-09-ES01-Events,provision,6050_CREDIT_LOSS_EXPENSE,2148.11,0.0,PROVISION,Expected credit loss allowance,,,
2023-09,ES01,Events,ECL-2023-09-ES01-Events,provision,1190_CREDIT_LOSS_ALLOWANCE,0.0,2148.11,PROVISION,Expected credit loss allowance,,,
2023-09,ES01,Events,ECLCLOSE-2023-09-ES01-Events,closing,6050_CREDIT_LOSS_EXPENSE,0.0,2148.11,PROVISION,Close Expected credit loss allowance,,,
2023-09,ES01,Events,ECLCLOSE-2023-09-ES01-Events,closing,3200_RETAINED_EARNINGS,2148.11,0.0,PROVISION,Close Expected credit loss allowance,,,
2023-09,ES01,Hardware,ECL-2023-09-ES01-Hardware,provision,6050_CREDIT_LOSS_EXPENSE,6566.7,0.0,PROVISION,Expected credit loss allowance,,,
2023-09,ES01,Hardware,ECL-2023-09-ES01-Hardware,provision,1190_CREDIT_LOSS_ALLOWANCE,0.0,6566.7,PROVISION,Expected credit loss allowance,,,
2023-09,ES01,Hardware,ECLCLOSE-2023-09-ES01-Hardware,closing,6050_CREDIT_LOSS_EXPENSE,0.0,6566.7,PROVISION,Close Expected credit loss allowance,,,
2023-09,ES01,Hardware,ECLCLOSE-2023-09-ES01-Hardware,closing,3200_RETAINED_EARNINGS,6566.7,0.0,PROVISION,Close Expected credit loss allowance,,,
2023-09,ES01,Spare Parts,ECL-2023-09-ES01-SpareParts,provision,6050_CREDIT_LOSS_EXPENSE,3444.53,0.0,PROVISION,Expected credit loss allowance,,,
2023-09,ES01,Spare Parts,ECL-2023-09-ES01-SpareParts,provision,1190_CREDIT_LOSS_ALLOWANCE,0.0,3444.53,PROVISION,Expected credit loss allowance,,,
2023-09,ES01,Spare Parts,ECLCLOSE-2023-09-ES01-SpareParts,closing,6050_CREDIT_LOSS_EXPENSE,0.0,3444.53,PROVISION,Close Expected credit loss allowance,,,
2023-09,ES01,Spare Parts,ECLCLOSE-2023-09-ES01-SpareParts,closing,3200_RETAINED_EARNINGS,3444.53,0.0,PROVISION,Close Expected credit loss allowance,,,
2023-09,JP01,Hardware,ECL-2023-09-JP01-Hardware,provision,6050_CREDIT_LOSS_EXPENSE,6086.56,0.0,PROVISION,Expected credit loss allowance,,,
2023-09,JP01,Hardware,ECL-2023-09-JP01-Hardware,provision,1190_CREDIT_LOSS_ALLOWANCE,0.0,6086.56,PROVISION,Expected credit loss allowance,,,
2023-09,JP01,Hardware,ECLCLOSE-2023-09-JP01-Hardware,closing,6050_CREDIT_LOSS_EXPENSE,0.0,6086.56,PROVISION,Close Expected credit loss allowance,,,
2023-09,JP01,Hardware,ECLCLOSE-2023-09-JP01-Hardware,closing,3200_RETAINED_EARNINGS,6086.56,0.0,PROVISION,Close Expected credit loss allowance,,,
2023-09,JP01,Software,ECL-2023-09-JP01-Software,provision,6050_CREDIT_LOSS_EXPENSE,910.56,0.0,PROVISION,Expected credit loss allowance,,,
2023-09,JP01,Software,ECL-2023-09-JP01-Software,provision,1190_CREDIT_LOSS_ALLOWANCE,0.0,910.56,PROVISION,Expected credit loss allowance,,,
2023-09,JP01,Software,ECLCLOSE-2023-09-JP01-Software,closing,6050_CREDIT_LOSS_EXPENSE,0.0,910.56,PROVISION,Close Expected credit loss allowance,,,
2023-09,JP01,Software,ECLCLOSE-2023-09-JP01-Software,closing,3200_RETAINED_EARNINGS,910.56,0.0,PROVISION,Close Expected credit loss allowance,,,
2023-09,JP01,Spare Parts,ECL-2023-09-JP01-SpareParts,provision,6050_CREDIT_LOSS_EXPENSE,4471.41,0.0,PROVISION,Expected credit loss allowance,,,
2023-09,JP01,Spare Parts,ECL-2023-09-JP01-SpareParts,provision,1190_CREDIT_LOSS_ALLOWANCE,0.0,4471.41,PROVISION,Expected credit loss allowance,,,
2023-09,JP01,Spare Parts,ECLCLOSE-2023-09-JP01-SpareParts,closing,6050_CREDIT_LOSS_EXPENSE,0.0,4471.41,PROVISION,Close Expected credit loss allowance,,,
2023-09,JP01,Spare Parts,ECLCLOSE-2023-09-JP01-SpareParts,closing,3200_RETAINED_EARNINGS,4471.41,0.0,PROVISION,Close Expected credit loss allowance,,,
2023-09,US01,Events,ECL-2023-09-US01-Events,provision,6050_CREDIT_LOSS_EXPENSE,2047.36,0.0,PROVISION,Expected credit loss allowance,,,
2023-09,US01,Events,ECL-2023-09-US01-Events,provision,1190_CREDIT_LOSS_ALLOWANCE,0.0,2047.36,PROVISION,Expected credit loss allowance,,,
2023-09,US01,Events,ECLCLOSE-2023-09-US01-Events,closing,6050_CREDIT_LOSS_EXPENSE,0.0,2047.36,PROVISION,Close Expected credit loss allowance,,,
2023-09,US01,Events,ECLCLOSE-2023-09-US01-Events,closing,3200_RETAINED_EARNINGS,2047.36,0.0,PROVISION,Close Expected credit loss allowance,,,
2023-09,US01,Hardware,ECL-2023-09-US01-Hardware,provision,6050_CREDIT_LOSS_EXPENSE,9766.37,0.0,PROVISION,Expected credit loss allowance,,,
2023-09,US01,Hardware,ECL-2023-09-US01-Hardware,provision,1190_CREDIT_LOSS_ALLOWANCE,0.0,9766.37,PROVISION,Expected credit loss allowance,,,
2023-09,US01,Hardware,ECLCLOSE-2023-09-US01-Hardware,closing,6050_CREDIT_LOSS_EXPENSE,0.0,9766.37,PROVISION,Close Expected credit loss allowance,,,
2023-09,US01,Hardware,ECLCLOSE-2023-09-US01-Hardware,closing,3200_RETAINED_EARNINGS,9766.37,0.0,PROVISION,Close Expected credit loss allowance,,,
2023-09,US01,Software,ECL-2023-09-US01-Software,provision,6050_CREDIT_LOSS_EXPENSE,1319.6,0.0,PROVISION,Expected credit loss allowance,,,
2023-09,US01,Software,ECL-2023-09-US01-Software,provision,1190_CREDIT_LOSS_ALLOWANCE,0.0,1319.6,PROVISION,Expected credit loss allowance,,,
2023-09,US01,Software,ECLCLOSE-2023-09-US01-Software,closing,6050_CREDIT_LOSS_EXPENSE,0.0,1319.6,PROVISION,Close Expected credit loss allowance,,,
2023-09,US01,Software,ECLCLOSE-2023-09-US01-Software,closing,3200_RETAINED_EARNINGS,1319.6,0.0,PROVISION,Close Expected credit loss allowance,,,
2023-10,DE01,Hardware,ECL-2023-10-DE01-Hardware,provision,6050_CREDIT_LOSS_EXPENSE,7521.7,0.0,PROVISION,Expected credit loss allowance,,,
2023-10,DE01,Hardware,ECL-2023-10-DE01-Hardware,provision,1190_CREDIT_LOSS_ALLOWANCE,0.0,7521.7,PROVISION,Expected credit loss allowance,,,
2023-10,DE01,Hardware,ECLCLOSE-2023-10-DE01-Hardware,closing,6050_CREDIT_LOSS_EXPENSE,0.0,7521.7,PROVISION,Close Expected credit loss allowance,,,
2023-10,DE01,Hardware,ECLCLOSE-2023-10-DE01-Hardware,closing,3200_RETAINED_EARNINGS,7521.7,0.0,PROVISION,Close Expected credit loss allowance,,,
2023-10,DE01,Software,ECL-2023-10-DE01-Software,provision_release,1190_CREDIT_LOSS_ALLOWANCE,104.26,0.0,PROVISION,Release Expected credit loss allowance,,,
2023-10,DE01,Software,ECL-2023-10-DE01-Software,provision_release,6050_CREDIT_LOSS_EXPENSE,0.0,104.26,PROVISION,Release Expected credit loss allowance,,,
2023-10,DE01,Software,ECLCLOSE-2023-10-DE01-Software,closing,6050_CREDIT_LOSS_EXPENSE,104.26,0.0,PROVISION,Close release Expected credit loss allowance,,,
2023-10,DE01,Software,ECLCLOSE-2023-10-DE01-Software,closing,3200_RETAINED_EARNINGS,0.0,104.26,PROVISION,Close release Expected credit loss allowance,,,
2023-10,ES01,Events,ECL-2023-10-ES01-Events,provision,6050_CREDIT_LOSS_EXPENSE,6584.4,0.0,PROVISION,Expected credit loss allowance,,,
2023-10,ES01,Events,ECL-2023-10-ES01-Events,provision,1190_CREDIT_LOSS_ALLOWANCE,0.0,6584.4,PROVISION,Expected credit loss allowance,,,
2023-10,ES01,Events,ECLCLOSE-2023-10-ES01-Events,closing,6050_CREDIT_LOSS_EXPENSE,0.0,6584.4,PROVISION,Close Expected credit loss allowance,,,
2023-10,ES01,Events,ECLCLOSE-2023-10-ES01-Events,closing,3200_RETAINED_EARNINGS,6584.4,0.0,PROVISION,Close Expected credit loss allowance,,,
2023-10,ES01,Hardware,ECL-2023-10-ES01-Hardware,provision,6050_CREDIT_LOSS_EXPENSE,6428.18,0.0,PROVISION,Expected credit loss allowance,,,
2023-10,ES01,Hardware,ECL-2023-10-ES01-Hardware,provision,1190_CREDIT_LOSS_ALLOWANCE,0.0,6428.18,PROVISION,Expected credit loss allowance,,,
2023-10,ES01,Hardware,ECLCLOSE-2023-10-ES01-Hardware,closing,6050_CREDIT_LOSS_EXPENSE,0.0,6428.18,PROVISION,Close Expected credit loss allowance,,,
2023-10,ES01,Hardware,ECLCLOSE-2023-10-ES01-Hardware,closing,3200_RETAINED_EARNINGS,6428.18,0.0,PROVISION,Close Expected credit loss allowance,,,
2023-10,ES01,Spare Parts,ECL-2023-10-ES01-SpareParts,provision,6050_CREDIT_LOSS_EXPENSE,2574.14,0.0,PROVISION,Expected credit loss allowance,,,
2023-10,ES01,Spare Parts,ECL-2023-10-ES01-SpareParts,provision,1190_CREDIT_LOSS_ALLOWANCE,0.0,2574.14,PROVISION,Expected credit loss allowance,,,
2023-10,ES01,Spare Parts,ECLCLOSE-2023-10-ES01-SpareParts,closing,6050_CREDIT_LOSS_EXPENSE,0.0,2574.14,PROVISION,Close Expected credit loss allowance,,,
2023-10,ES01,Spare Parts,ECLCLOSE-2023-10-ES01-SpareParts,closing,3200_RETAINED_EARNINGS,2574.14,0.0,PROVISION,Close Expected credit loss allowance,,,
2023-10,JP01,Hardware,ECL-2023-10-JP01-Hardware,provision,6050_CREDIT_LOSS_EXPENSE,5277.66,0.0,PROVISION,Expected credit loss allowance,,,
2023-10,JP01,Hardware,ECL-2023-10-JP01-Hardware,provision,1190_CREDIT_LOSS_ALLOWANCE,0.0,5277.66,PROVISION,Expected credit loss allowance,,,
2023-10,JP01,Hardware,ECLCLOSE-2023-10-JP01-Hardware,closing,6050_CREDIT_LOSS_EXPENSE,0.0,5277.66,PROVISION,Close Expected credit loss allowance,,,
2023-10,JP01,Hardware,ECLCLOSE-2023-10-JP01-Hardware,closing,3200_RETAINED_EARNINGS,5277.66,0.0,PROVISION,Close Expected credit loss allowance,,,
2023-10,JP01,Software,ECL-2023-10-JP01-Software,provision_release,1190_CREDIT_LOSS_ALLOWANCE,89.18,0.0,PROVISION,Release Expected credit loss allowance,,,
2023-10,JP01,Software,ECL-2023-10-JP01-Software,provision_release,6050_CREDIT_LOSS_EXPENSE,0.0,89.18,PROVISION,Release Expected credit loss allowance,,,
2023-10,JP01,Software,ECLCLOSE-2023-10-JP01-Software,closing,6050_CREDIT_LOSS_EXPENSE,89.18,0.0,PROVISION,Close release Expected credit loss allowance,,,
2023-10,JP01,Software,ECLCLOSE-2023-10-JP01-Software,closing,3200_RETAINED_EARNINGS,0.0,89.18,PROVISION,Close release Expected credit loss allowance,,,
2023-10,JP01,Spare Parts,ECL-2023-10-JP01-SpareParts,provision,6050_CREDIT_LOSS_EXPENSE,3587.31,0.0,PROVISION,Expected credit loss allowance,,,
2023-10,JP01,Spare Parts,ECL-2023-10-JP01-SpareParts,provision,1190_CREDIT_LOSS_ALLOWANCE,0.0,3587.31,PROVISION,Expected credit loss allowance,,,
2023-10,JP01,Spare Parts,ECLCLOSE-2023-10-JP01-SpareParts,closing,6050_CREDIT_LOSS_EXPENSE,0.0,3587.31,PROVISION,Close Expected credit loss allowance,,,
2023-10,JP01,Spare Parts,ECLCLOSE-2023-10-JP01-SpareParts,closing,3200_RETAINED_EARNINGS,3587.31,0.0,PROVISION,Close Expected credit loss allowance,,,
2023-10,US01,Events,ECL-2023-10-US01-Events,provision,6050_CREDIT_LOSS_EXPENSE,1631.44,0.0,PROVISION,Expected credit loss allowance,,,
2023-10,US01,Events,ECL-2023-10-US01-Events,provision,1190_CREDIT_LOSS_ALLOWANCE,0.0,1631.44,PROVISION,Expected credit loss allowance,,,
2023-10,US01,Events,ECLCLOSE-2023-10-US01-Events,closing,6050_CREDIT_LOSS_EXPENSE,0.0,1631.44,PROVISION,Close Expected credit loss allowance,,,
2023-10,US01,Events,ECLCLOSE-2023-10-US01-Events,closing,3200_RETAINED_EARNINGS,1631.44,0.0,PROVISION,Close Expected credit loss allowance,,,
2023-10,US01,Hardware,ECL-2023-10-US01-Hardware,provision,6050_CREDIT_LOSS_EXPENSE,8642.76,0.0,PROVISION,Expected credit loss allowance,,,
2023-10,US01,Hardware,ECL-2023-10-US01-Hardware,provision,1190_CREDIT_LOSS_ALLOWANCE,0.0,8642.76,PROVISION,Expected credit loss allowance,,,
2023-10,US01,Hardware,ECLCLOSE-2023-10-US01-Hardware,closing,6050_CREDIT_LOSS_EXPENSE,0.0,8642.76,PROVISION,Close Expected credit loss allowance,,,
2023-10,US01,Hardware,ECLCLOSE-2023-10-US01-Hardware,closing,3200_RETAINED_EARNINGS,8642.76,0.0,PROVISION,Close Expected credit loss allowance,,,
2023-10,US01,Software,ECL-2023-10-US01-Software,provision_release,1190_CREDIT_LOSS_ALLOWANCE,195.22,0.0,PROVISION,Release Expected credit loss allowance,,,
2023-10,US01,Software,ECL-2023-10-US01-Software,provision_release,6050_CREDIT_LOSS_EXPENSE,0.0,195.22,PROVISION,Release Expected credit loss allowance,,,
