month,source_factory,product_family,quality_tier,units,revenue,gross_profit,factory_units_in_sales,unit_mix_pct,gross_margin_pct
2023-09,CN01,Control Systems,Essential,39.0,750325.6,216188.54,357.0,0.1092436974789916,0.28812630143500373
2023-09,CN01,Control Systems,Premium,8.0,296244.19999999995,35273.61,357.0,0.022408963585434174,0.11906936912182586
2023-09,CN01,Control Systems,Professional,18.0,461776.0,115565.64,357.0,0.05042016806722689,0.25026341776099237
2023-09,CN01,Edge Appliances,Essential,43.0,978126.22,277741.61,357.0,0.12044817927170869,0.283952729536276
2023-09,CN01,Edge Appliances,Premium,11.0,467434.9,60195.439999999995,357.0,0.03081232492997199,0.1287782320062109
2023-09,CN01,Edge Appliances,Professional,19.0,551818.4,145429.47,357.0,0.05322128851540616,0.2635458875601103
2023-09,CN01,Network Devices,Essential,43.0,904438.06,322702.27999999997,357.0,0.12044817927170869,0.3567986513084157
2023-09,CN01,Network Devices,Premium,6.0,243732.47,26720.26,357.0,0.01680672268907563,0.10962946381333598
2023-09,CN01,Network Devices,Professional,23.0,608256.6,160402.48,357.0,0.06442577030812324,0.2637085729937004
2023-09,CN01,Sensors & Readers,Essential,42.0,600038.67,220531.41,357.0,0.11764705882352941,0.367528662777684
2023-09,CN01,Sensors & Readers,Premium,5.0,144894.96,15234.5,357.0,0.014005602240896359,0.10514168332701151
2023-09,CN01,Sensors & Readers,Professional,33.0,623926.8,161630.69999999998,357.0,0.09243697478991597,0.25905394671297977
2023-09,CN01,Terminals,Essential,39.0,693861.1900000001,251374.85,357.0,0.1092436974789916,0.36228406145615377
2023-09,CN01,Terminals,Premium,4.0,137207.84,16219.130000000001,357.0,0.011204481792717087,0.11820847846595356
2023-09,CN01,Terminals,Professional,24.0,551720.4,143869.42,357.0,0.06722689075630252,0.2607650904334877
2023-09,CZ01,Control Systems,Essential,38.0,744153.06,222983.59,417.0,0.09112709832134293,0.2996474811243805
2023-09,CZ01,Control Systems,Premium,13.0,460900.86,62823.18,417.0,0.03117505995203837,0.136305191532947
2023-09,CZ01,Control Systems,Professional,32.0,785996.75,208077.27000000002,417.0,0.07673860911270983,0.26473044576838267
2023-09,CZ01,Edge Appliances,Essential,38.0,875818.94,272994.99,417.0,0.09112709832134293,0.3117025420802158
2023-09,CZ01,Edge Appliances,Premium,8.0,349256.32,40984.52,417.0,0.019184652278177457,0.117347969537101
2023-09,CZ01,Edge Appliances,Professional,24.0,704110.4,183216.42,417.0,0.05755395683453238,0.26020979096459873
2023-09,CZ01,Network Devices,Essential,43.0,893522.45,321683.73,417.0,0.10311750599520383,0.36001751271050886
