month,entity,transaction_currency,open_documents,gross_receivable_eur,gross_payable_eur,net_exposure_eur,unrealized_fx_gain_loss_eur,realized_fx_gain_loss_eur,total_fx_gain_loss_eur
2023-09,CZ01,USD,3,0.0,15013357.15,-15013357.15,0.0,0.0,0.0
2023-09,DE01,CNY,54,218240.62,2800951.93,-2582711.31,0.0,0.0,0.0
2023-09,DE01,CZK,65,291793.53,9458458.11,-9166664.58,0.0,0.0,0.0
2023-09,DE01,JPY,45,224352.21,10979.97,213372.24,0.0,0.0,0.0
2023-09,DE01,USD,56,239874.01,24832.12,215041.89,0.0,0.0,0.0
2023-09,ES01,CNY,58,172588.65,3496281.33,-3323692.68,0.0,0.0,0.0
2023-09,ES01,CZK,50,154692.48,11395432.69,-11240740.21,0.0,0.0,0.0
2023-09,ES01,JPY,72,464789.35,34933.41,429855.94,0.0,0.0,0.0
2023-09,ES01,USD,55,528193.78,20373.55,507820.23,0.0,0.0,0.0
2023-09,JP01,CNY,96,292463.4,10027509.48,-9735046.08,0.0,0.0,0.0
2023-09,JP01,CZK,93,257279.37,3041906.42,-2784627.05,0.0,0.0,0.0
2023-09,JP01,EUR,105,225171.63,39788.67,185382.96,0.0,0.0,0.0
2023-09,JP01,USD,87,283577.41,29367.88,254209.53,0.0,0.0,0.0
2023-09,US01,CNY,47,320412.03,9467199.2,-9146787.17,0.0,0.0,0.0
2023-09,US01,CZK,66,353153.89,5135138.47,-4781984.58,0.0,0.0,0.0
2023-09,US01,EUR,75,299163.18,52375.12,246788.06,0.0,0.0,0.0
2023-09,US01,JPY,78,704857.63,176187.05,528670.58,0.0,0.0,0.0
2023-10,CN01,JPY,1,0.0,1125598.28,-1125598.28,0.0,0.0,0.0
2023-10,CZ01,JPY,1,0.0,2814925.55,-2814925.55,0.0,0.0,0.0
2023-10,CZ01,USD,3,0.0,8591542.78,-8591542.78,-142910.81,-154020.73,-296931.54
2023-10,DE01,CNY,95,424570.31,989017.48,-564447.17,1541.86,-27192.09,-25650.23
2023-10,DE01,CZK,110,238089.94,12452259.67,-12214169.73,77680.0,-1621.83,76058.17
2023-10,DE01,JPY,98,559579.63,35681.34,523898.29,-188.57,-138.84,-327.41
2023-10,DE01,USD,82,360187.79,34900.52,325287.27,512.82,1955.99,2468.81
2023-10,ES01,CNY,97,382695.07,1187006.47,-804311.4,322.94,-33332.23,-33009.29
2023-10,ES01,CZK,99,879951.89,12462127.64,-11582175.75,69537.96,23729.3,93267.26
2023-10,ES01,JPY,94,539555.2,181909.74,357645.46,-312.39,-347.17,-659.56
2023-10,ES01,USD,70,397896.4,213700.62,184195.78,2158.71,3671.32,5830.03
2023-10,JP01,CNY,126,306224.54,13098649.43,-12792424.89,-113920.87,2299.96,-111620.91
2023-10,JP01,CZK,155,433285.66,2505021.3,-2071735.64,9529.13,9302.99,18832.12
2023-10,JP01,EUR,149,443733.19,45328.67,398404.52,164.54,119.94,284.48
2023-10,JP01,USD,141,504616.89,47334.39,457282.5,1956.4,1352.14,3308.54
2023-10,US01,CNY,97,691190.17,2698707.72,-2007517.55,-314.61,14483.64,14169.03
2023-10,US01,CZK,103,456803.92,1497155.64,-1040351.72,-2829.09,97406.4,94577.31
2023-10,US01,EUR,111,326557.3,97960.31,228596.99,-68.12,-2765.16,-2833.28
2023-10,US01,JPY,103,859592.42,137046.53,722545.89,-4700.82,-2179.84,-6880.66
2023-11,CN01,EUR,1,0.0,1135986.23,-1135986.23,0.0,0.0,0.0
2023-11,CN01,JPY,0,0.0,0.0,0.0,0.0,13681.62,13681.62
2023-11,CZ01,CNY,1,0.0,2730940.29,-2730940.29,0.0,0.0,0.0
2023-11,CZ01,JPY,1,0.0,2748722.14,-2748722.14,77653.02,0.0,77653.02
2023-11,CZ01,USD,1,0.0,1533499.38,-1533499.38,0.0,230240.14,230240.14
2023-11,DE01,CNY,101,469541.11,1891323.2,-1421782.09,9924.9,-3510.7,6414.2
2023-11,DE01,CZK,101,363360.73,6053073.81,-5689713.08,-11993.15,-37687.54,-49680.69
2023-11,DE01,JPY,93,573015.94,34466.77,538549.17,-4585.01,-7736.39,-12321.4
2023-11,DE01,USD,94,434604.09,44796.17,389807.92,-2755.36,-4638.73,-7394.09
2023-11,ES01,CNY,96,491762.05,1577325.83,-1085563.78,2552.5,6587.48,9139.98
2023-11,ES01,CZK,92,610922.57,3899633.96,-3288711.39,1285.51,-48395.57,-47110.06
2023-11,ES01,JPY,90,679480.48,345172.19,334308.29,-3921.83,-4489.55,-8411.38
2023-11,ES01,USD,98,402564.15,274655.37,127908.78,2211.53,-6398.52,-4186.99
2023-11,JP01,CNY,156,542237.64,4990297.06,-4448059.42,-19921.72,-135569.88,-155491.6
2023-11,JP01,CZK,148,389115.77,1970971.81,-1581856.04,-21436.97,-35714.33,-57151.3
2023-11,JP01,EUR,156,520410.43,54385.94,466024.49,3273.41,6096.5,9369.91
2023-11,JP01,USD,160,518033.45,49925.75,468107.7,141.54,218.68,360.22
2023-11,US01,CNY,94,698787.12,5486522.01,-4787734.89,-27502.59,4682.57,-22820.02
2023-11,US01,CZK,100,390631.61,3156537.52,-2765905.91,-34721.77,6841.91,-27879.86
2023-11,US01,EUR,116,436985.03,90429.0,346556.03,1967.48,3228.71,5196.19
2023-11,US01,JPY,108,735965.26,144621.44,591343.82,-240.34,-328.76,-569.1
2023-12,CN01,EUR,1,0.0,122318.38,-122318.38,0.0,3175.68,3175.68
