month,entity,division,4000_EXTERNAL_REVENUE,4100_IC_REVENUE,5000_EXTERNAL_COGS,5050_SERVICE_DELIVERY,5200_FACTORY_COST,5300_VARIABLE_SELLING,5400_FIXED_PRODUCTION,5450_FACTORY_ABSORPTION_VARIANCE,6000_OPEX,6100_DEPRECIATION,7000_INTEREST,7100_TAX,external_revenue,intercompany_revenue,revenue,cogs,gross_profit,ebit,ebt,net_income,inventory_provision_expense,credit_loss_expense
2023-09,CN01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236111.11,52500.0,651116.5,-0.0,-0.0,-0.0,0.0,-0.0,-236111.11,-288611.11,-939727.61,0.0,0.0
2023-09,CN01,Hardware,0.0,-20383121.22,0.0,0.0,18873260.38,0.0,0.0,-1101047.25,0.0,0.0,0.0,0.0,-0.0,20383121.22,20383121.22,17772213.13,2610908.09,2610908.09,2610908.09,2610908.09,0.0,0.0
2023-09,CN01,Spare Parts,0.0,-5274293.83,0.0,0.0,4883605.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5274293.83,5274293.83,4883605.4,390688.4299999997,390688.4299999997,390688.4299999997,390688.4299999997,0.0,0.0
2023-09,CZ01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236111.11,52500.0,795890.89,-0.0,-0.0,-0.0,0.0,-0.0,-236111.11,-288611.11,-1084502.0,0.0,0.0
2023-09,CZ01,Hardware,0.0,-24346003.11,0.0,0.0,22542595.46,0.0,0.0,-1482570.08,0.0,0.0,0.0,0.0,-0.0,24346003.11,24346003.11,21060025.380000003,3285977.7299999967,3285977.7299999967,3285977.7299999967,3285977.7299999967,0.0,0.0
2023-09,CZ01,Spare Parts,0.0,-4304413.18,0.0,0.0,3985567.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,4304413.18,4304413.18,3985567.76,318845.4199999999,318845.4199999999,318845.4199999999,318845.4199999999,0.0,0.0
2023-09,DE01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62500.0,30000.0,172919.19,-0.0,-0.0,-0.0,0.0,-0.0,-62500.0,-92500.0,-265419.19,0.0,0.0
2023-09,DE01,Hardware,-4752778.57,0.0,3484670.45,0.0,0.0,265873.83,0.0,0.0,529967.3099999999,0.0,0.0,0.0,4752778.57,-0.0,4752778.57,3493445.25,1259333.32,455622.1800000001,455622.1800000001,455622.1800000001,8774.8,7870.0
2023-09,DE01,Software,-619954.0,0.0,0.0,121024.95,0.0,22093.74,27844.52,0.0,108261.3,0.0,0.0,0.0,619954.0,-0.0,619954.0,148869.47,471084.53,339686.45000000007,339686.45000000007,339686.45000000007,0.0,1043.04
2023-09,ES01,Corporate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62500.0,7500.0,334711.58,-0.0,-0.0,-0.0,0.0,-0.0,-62500.0,-70000.0,-404711.58,0.0,0.0
