vintage,month,horizon_month,entity,division,scenario,revenue_forecast,gross_profit_forecast,marginal_contribution_forecast,opex_forecast,bias_correction,active_action_count,action_opex_reduction_pct,action_revenue_impact_forecast,action_gross_profit_impact_forecast,action_opex_impact_forecast,action_ebit_impact_forecast,personnel_cost_forecast,non_people_opex_forecast,workforce_fte_forecast,workforce_hires_forecast,workforce_attrition_forecast,workforce_target_fte
2026-08,2026-09,1,DE01,Hardware,Base,5914556.18,1722710.45,2045715.25,691453.6,1.00527,12,0.008042,9989.69,25721.17,1426.95,27148.12,515443.85,176009.74,45.5646,1.9884,0.4031,47.1914
2026-08,2026-09,1,DE01,Hardware,Upside,5931536.27,1798448.72,2101143.07,692934.29,1.00527,12,0.008042,10018.37,25529.34,1431.04,26960.38,516419.24,176515.05,45.6391,2.0629,0.4031,47.3269
2026-08,2026-09,1,DE01,Hardware,Downside,5886739.42,1609221.53,1962323.26,689027.93,1.00527,12,0.008042,9942.71,25995.7,1420.23,27415.93,513845.98,175181.95,45.4425,1.8663,0.4031,46.9695
2026-08,2026-09,1,DE01,Software,Base,1010029.19,738779.96,784002.79,177833.25,1.05828,8,0.004394,1202.43,1467.44,244.09,1711.53,122525.74,55307.51,10.371,0.802,0.0885,11.0272
2026-08,2026-09,1,DE01,Software,Upside,1012928.89,753029.75,794743.76,178223.91,1.05828,8,0.004394,1205.89,1459.8,244.79,1704.59,122757.61,55466.29,10.3884,0.8194,0.0885,11.0588
2026-08,2026-09,1,DE01,Software,Downside,1005278.92,717249.56,767676.46,177193.27,1.05828,8,0.004394,1196.78,1478.18,242.95,1721.13,122145.88,55047.4,10.3425,0.7734,0.0885,10.9753
2026-08,2026-09,1,ES01,Events,Base,3820154.59,1445037.7,1656204.32,541891.17,1.13636,9,0.004394,4547.87,11632.7,755.36,12388.06,370739.57,171151.6,48.7183,5.7437,0.3976,53.4177
2026-08,2026-09,1,ES01,Events,Upside,3831121.87,1494968.42,1693006.63,543315.23,1.13636,9,0.004394,4560.93,11529.53,757.53,12287.06,371672.28,171642.96,48.8026,5.8281,0.3976,53.571
2026-08,2026-09,1,ES01,Events,Downside,3802188.02,1370086.93,1600706.8,539558.27,1.13636,9,0.004394,4526.48,11781.29,751.81,12533.1,369211.62,170346.65,48.5801,5.6056,0.3976,53.1665
2026-08,2026-09,1,ES01,Hardware,Base,5378586.95,1517417.2,1811921.53,481674.0,0.98743,12,0.008042,9084.44,23574.93,1297.64,24872.57,321614.0,160060.0,41.7513,1.3876,0.3734,42.8866
