month,horizon_month,scenario,entity,division,action_revenue_impact,action_gross_profit_impact,action_opex_impact,action_ebit_impact,active_action_count
2026-09,1,Base,DE01,Hardware,16801.58,39025.9,1711.06,40736.96,16
2026-09,1,Base,DE01,Software,2466.68,2648.95,349.07,2998.02,11
2026-09,1,Base,ES01,Events,9232.44,15501.74,1068.98,16570.72,12
2026-09,1,Base,ES01,Hardware,15666.87,36572.17,1595.5,38167.67,16
2026-09,1,Base,ES01,Spare Parts,5395.49,6231.58,416.48,6648.06,11
2026-09,1,Base,JP01,Hardware,9967.66,22618.57,1015.1,23633.67,18
2026-09,1,Base,JP01,Software,2088.32,2242.78,295.53,2538.31,13
2026-09,1,Base,JP01,Spare Parts,7464.69,8620.61,576.2,9196.81,13
2026-09,1,Base,US01,Events,6603.77,10964.06,1426.15,12390.21,14
2026-09,1,Base,US01,Hardware,18052.45,41951.75,2831.79,44783.54,18
2026-09,1,Base,US01,Software,3120.6,3350.23,823.69,4173.92,13
2026-09,1,Downside,DE01,Hardware,16722.57,39407.15,1703.01,41110.16,16
2026-09,1,Downside,DE01,Software,2455.08,2648.6,347.43,2996.03,11
2026-09,1,Downside,ES01,Events,9189.02,15612.85,1063.96,16676.81,12
2026-09,1,Downside,ES01,Hardware,15593.19,36926.82,1588.0,38514.82,16
2026-09,1,Downside,ES01,Spare Parts,5370.12,6228.77,414.52,6643.29,11
2026-09,1,Downside,JP01,Hardware,9920.78,22847.26,1010.32,23857.58,18
2026-09,1,Downside,JP01,Software,2078.5,2242.48,294.14,2536.62,13
2026-09,1,Downside,JP01,Spare Parts,7429.58,8616.72,573.49,9190.21,13
2026-09,1,Downside,US01,Events,6572.72,11044.12,1419.45,12463.57,14
2026-09,1,Downside,US01,Hardware,17967.55,42361.29,2818.47,45179.76,18
2026-09,1,Downside,US01,Software,3105.93,3349.8,819.81,4169.61,13
2026-09,1,Upside,DE01,Hardware,16849.82,38758.54,1715.97,40474.51,16
2026-09,1,Upside,DE01,Software,2473.76,2648.42,350.08,2998.5,11
2026-09,1,Upside,ES01,Events,9258.94,15422.63,1072.05,16494.68,12
2026-09,1,Upside,ES01,Hardware,15711.85,36323.39,1600.08,37923.47,16
2026-09,1,Upside,ES01,Spare Parts,5410.98,6231.68,417.68,6649.36,11
2026-09,1,Upside,JP01,Hardware,9996.27,22458.43,1018.01,23476.44,18
2026-09,1,Upside,JP01,Software,2094.32,2242.33,296.38,2538.71,13
2026-09,1,Upside,JP01,Spare Parts,7486.12,8620.73,577.86,9198.59,13
2026-09,1,Upside,US01,Events,6622.73,10907.12,1430.25,12337.37,14
2026-09,1,Upside,US01,Hardware,18104.28,41664.54,2839.92,44504.46,18
2026-09,1,Upside,US01,Software,3129.56,3349.56,826.05,4175.61,13
2026-10,2,Base,DE01,Hardware,35000.25,81241.17,3559.73,84800.9,16
2026-10,2,Base,DE01,Software,5166.94,5550.63,731.12,6281.75,11
2026-10,2,Base,ES01,Events,19218.42,32276.11,2224.96,34501.07,12
