close_month,observation_month,driver,value,unit,source,official_source,source_url,status
2026-08,2023-09,inflation,0.043,Annual rate,Eurostat_HICP,Eurostat HICP,https://ec.europa.eu/eurostat/databrowser/view/prc_hicp_minr/default/table,Official
2026-08,2023-09,industrial_index,99.7,2021=100,Eurostat_STS,Eurostat industrial production,https://ec.europa.eu/eurostat/databrowser/view/sts_inpr_m/default/table,Official
2026-08,2023-09,energy_index,117.7,2010=100,World_Bank_Pink_Sheet,World Bank Pink Sheet energy index,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx,Official
2026-08,2023-09,policy_rate,0.045,Annual rate,ECB_MRO,ECB main refinancing operations,https://data.ecb.europa.eu/data/datasets/FM,Official
2026-08,2023-09,USD,0.93599572,EUR per currency unit,ECB_EXR,ECB reference exchange rate,https://data.ecb.europa.eu/data/datasets/EXR,Official
2026-08,2023-09,JPY,0.00633733,EUR per currency unit,ECB_EXR,ECB reference exchange rate,https://data.ecb.europa.eu/data/datasets/EXR,Official
2026-08,2023-09,CNY,0.12825994,EUR per currency unit,ECB_EXR,ECB reference exchange rate,https://data.ecb.europa.eu/data/datasets/EXR,Official
2026-08,2023-09,CZK,0.04101659,EUR per currency unit,ECB_EXR,ECB reference exchange rate,https://data.ecb.europa.eu/data/datasets/EXR,Official
2026-08,2023-10,inflation,0.029,Annual rate,Eurostat_HICP,Eurostat HICP,https://ec.europa.eu/eurostat/databrowser/view/prc_hicp_minr/default/table,Official
2026-08,2023-10,industrial_index,98.8,2021=100,Eurostat_STS,Eurostat industrial production,https://ec.europa.eu/eurostat/databrowser/view/sts_inpr_m/default/table,Official
2026-08,2023-10,energy_index,115.7,2010=100,World_Bank_Pink_Sheet,World Bank Pink Sheet energy index,https://thedocs.worldbank.org/en/doc/74e8be41ceb20fa0da750cda2f6b9e4e-0050012026/related/CMO-Historical-Data-Monthly.xlsx,Official
2026-08,2023-10,policy_rate,0.045,Annual rate,ECB_MRO,ECB main refinancing operations,https://data.ecb.europa.eu/data/datasets/FM,Official
2026-08,2023-10,USD,0.94674149,EUR per currency unit,ECB_EXR,ECB reference exchange rate,https://data.ecb.europa.eu/data/datasets/EXR,Official
2026-08,2023-10,JPY,0.0063276,EUR per currency unit,ECB_EXR,ECB reference exchange rate,https://data.ecb.europa.eu/data/datasets/EXR,Official
2026-08,2023-10,CNY,0.12953376,EUR per currency unit,ECB_EXR,ECB reference exchange rate,https://data.ecb.europa.eu/data/datasets/EXR,Official
