month,receipt_month,service_month,entity,division,customer,product,product_family,quality_tier,original_advance,contract_liability,months_to_service
2023-09,2023-09,2023-10,DE01,Software,C001,SW-ANL-BI-E,Analytics,Essential,598.72,598.72,1
2023-09,2023-09,2023-10,DE01,Software,C001,SW-ANL-FIN-P,Analytics,Professional,1367.31,1367.31,1
2023-09,2023-09,2023-10,DE01,Software,C001,SW-ANL-FIN-X,Analytics,Premium,1354.2,1354.2,1
2023-09,2023-09,2023-10,DE01,Software,C001,SW-ANL-PRD-P,Analytics,Professional,729.67,729.67,1
2023-09,2023-09,2023-10,DE01,Software,C001,SW-AUT-MON-E,Automation,Essential,741.99,741.99,1
2023-09,2023-09,2023-10,DE01,Software,C001,SW-AUT-ORC-X,Automation,Premium,1289.46,1289.46,1
2023-09,2023-09,2023-10,DE01,Software,C001,SW-AUT-RPA-E,Automation,Essential,653.96,653.96,1
2023-09,2023-09,2023-10,DE01,Software,C001,SW-AUT-RPA-P,Automation,Professional,697.54,697.54,1
2023-09,2023-09,2023-10,DE01,Software,C001,SW-PLT-API-E,Platform,Essential,770.12,770.12,1
2023-09,2023-09,2023-10,DE01,Software,C001,SW-PLT-API-P,Platform,Professional,1631.55,1631.55,1
2023-09,2023-09,2023-10,DE01,Software,C001,SW-PLT-API-X,Platform,Premium,1612.56,1612.56,1
2023-09,2023-09,2023-10,DE01,Software,C001,SW-PLT-CORE-E,Platform,Essential,633.06,633.06,1
2023-09,2023-09,2023-10,DE01,Software,C001,SW-PLT-CORE-P,Platform,Professional,1341.19,1341.19,1
2023-09,2023-09,2023-10,DE01,Software,C001,SW-PLT-EDGE-P,Platform,Professional,1534.77,1534.77,1
2023-09,2023-09,2023-10,DE01,Software,C001,SW-PLT-WF-E,Platform,Essential,678.75,678.75,1
2023-09,2023-09,2023-10,DE01,Software,C001,SW-SEC-CMP-X,Security,Premium,1858.8,1858.8,1
2023-09,2023-09,2023-10,DE01,Software,C001,SW-SEC-IAM-E,Security,Essential,728.48,728.48,1
2023-09,2023-09,2023-10,DE01,Software,C001,SW-SEC-IAM-P,Security,Professional,772.63,772.63,1
2023-09,2023-09,2023-10,DE01,Software,C001,SW-SEC-KMS-E,Security,Essential,833.61,833.61,1
2023-09,2023-09,2023-10,DE01,Software,C001,SW-SEC-PAM-E,Security,Essential,781.04,781.04,1
2023-09,2023-09,2023-10,DE01,Software,C002,SW-ANL-BI-E,Analytics,Essential,1039.51,1039.51,1
2023-09,2023-09,2023-10,DE01,Software,C002,SW-ANL-BI-P,Analytics,Professional,1396.16,1396.16,1
2023-09,2023-09,2023-10,DE01,Software,C002,SW-ANL-BI-X,Analytics,Premium,1352.5,1352.5,1
2023-09,2023-09,2023-10,DE01,Software,C002,SW-ANL-OPS-P,Analytics,Professional,1698.42,1698.42,1
2023-09,2023-09,2023-10,DE01,Software,C002,SW-ANL-PRD-P,Analytics,Professional,1597.67,1597.67,1
2023-09,2023-09,2023-10,DE01,Software,C002,SW-AUT-ORC-E,Automation,Essential,1063.07,1063.07,1
2023-09,2023-09,2023-10,DE01,Software,C002,SW-AUT-ORC-P,Automation,Professional,1427.82,1427.82,1
2023-09,2023-09,2023-10,DE01,Software,C002,SW-AUT-RPA-E,Automation,Essential,1139.79,1139.79,1
2023-09,2023-09,2023-10,DE01,Software,C002,SW-AUT-RPA-P,Automation,Professional,1530.86,1530.86,1
2023-09,2023-09,2023-10,DE01,Software,C002,SW-PLT-API-E,Platform,Essential,1319.03,1319.03,1
2023-09,2023-09,2023-10,DE01,Software,C002,SW-PLT-API-P,Platform,Professional,1771.6,1771.6,1
2023-09,2023-09,2023-10,DE01,Software,C002,SW-PLT-CORE-X,Platform,Premium,2821.55,2821.55,1
2023-09,2023-09,2023-10,DE01,Software,C002,SW-PLT-WF-E,Platform,Essential,1550.06,1550.06,1
2023-09,2023-09,2023-10,DE01,Software,C002,SW-PLT-WF-P,Platform,Professional,2342.11,2342.11,1
2023-09,2023-09,2023-10,DE01,Software,C002,SW-PLT-WF-X,Platform,Premium,3025.16,3025.16,1
2023-09,2023-09,2023-10,DE01,Software,C002,SW-SEC-CMP-X,Security,Premium,1981.09,1981.09,1
2023-09,2023-09,2023-10,DE01,Software,C002,SW-SEC-KMS-E,Security,Essential,954.87,954.87,1
2023-09,2023-09,2023-10,DE01,Software,C002,SW-SEC-KMS-X,Security,Premium,1863.57,1863.57,1
2023-09,2023-09,2023-10,DE01,Software,C002,SW-SEC-PAM-E,Security,Essential,1341.98,1341.98,1
2023-09,2023-09,2023-10,DE01,Software,C002,SW-SEC-PAM-P,Security,Professional,1802.41,1802.41,1
2023-09,2023-09,2023-10,DE01,Software,C003,SW-ANL-OPS-P,Analytics,Professional,775.69,775.69,1
2023-09,2023-09,2023-10,DE01,Software,C003,SW-ANL-OPS-X,Analytics,Premium,1536.49,1536.49,1
2023-09,2023-09,2023-10,DE01,Software,C003,SW-AUT-INT-E,Automation,Essential,697.98,697.98,1
2023-09,2023-09,2023-10,DE01,Software,C003,SW-AUT-MON-E,Automation,Essential,741.99,741.99,1
2023-09,2023-09,2023-10,DE01,Software,C003,SW-AUT-MON-P,Automation,Professional,791.44,791.44,1
2023-09,2023-09,2023-10,DE01,Software,C003,SW-AUT-ORC-P,Automation,Professional,650.59,650.59,1
