month,entity,division,customer,customer_name,customer_segment,risk_score,payment_terms_days,current,overdue_1_30,overdue_31_60,overdue_61_90,overdue_90_plus,total_ar,overdue_ar,overdue_pct,weighted_age_days,risk_multiplier,ecl_current,ecl_overdue_1_30,ecl_overdue_31_60,ecl_overdue_61_90,ecl_overdue_90_plus,gross_ar,credit_loss_allowance,net_ar,allowance_pct
2023-09,DE01,Hardware,C008,Redwood DE01,Core,2.225305,45,449750.51,0.0,0.0,0.0,0.0,449750.51,0.0,0.0,0.0,0.8991120625,808.7522173130537,0.0,0.0,0.0,0.0,449750.51,808.7522173130537,448941.75778268697,0.001798224125
2023-09,DE01,Hardware,C009,Pioneer DE01,Strategic,1.306745,45,789156.06,0.0,0.0,0.0,0.0,789156.06,0.0,0.0,0.0,0.7498460625,1183.4911285780274,0.0,0.0,0.0,0.0,789156.06,1183.4911285780274,787972.568871422,0.0014996921249999999
2023-09,DE01,Hardware,C010,Keystone DE01,Growth,3.8942900000000003,45,322676.77,0.0,0.0,0.0,0.0,322676.77,0.0,0.0,0.0,1.1703221250000002,755.2715263090727,0.0,0.0,0.0,0.0,322676.77,755.2715263090727,321921.49847369094,0.0023406442500000005
2023-09,DE01,Hardware,C011,Axiom DE01,Strategic,1.0,45,1445188.33,0.0,0.0,0.0,0.0,1445188.33,0.0,0.0,0.0,0.7,2023.263662,0.0,0.0,0.0,0.0,1445188.33,2023.263662,1443165.0663380001,0.0014
2023-09,DE01,Hardware,C012,Northstar DE01,Growth,2.752895,45,444061.92,0.0,0.0,0.0,0.0,444061.92,0.0,0.0,0.0,0.9848454375,874.6647117589799,0.0,0.0,0.0,0.0,444061.92,874.6647117589799,443187.255288241,0.001969690875
2023-09,DE01,Hardware,C013,Kestrel DE01,Core,1.8694799999999998,45,789280.31,0.0,0.0,0.0,0.0,789280.31,0.0,0.0,0.0,0.8412904999999999,1328.02805328011,0.0,0.0,0.0,0.0,789280.31,1328.02805328011,787952.28194672,0.0016825809999999998
2023-09,DE01,Hardware,C014,Helix DE01,Core,2.0470550000000003,45,567420.99,0.0,0.0,0.0,0.0,567420.99,0.0,0.0,0.0,0.8701464375000001,987.4787060224463,0.0,0.0,0.0,0.0,567420.99,987.4787060224463,566433.5112939775,0.0017402928750000002
2023-09,DE01,Software,C001,Meridian DE01,Growth,3.922925,30,52337.71,0.0,0.0,0.0,0.0,52337.71,0.0,0.0,0.0,1.1749753125,122.99103432556875,0.0,0.0,0.0,0.0,52337.71,122.99103432556875,52214.71896567443,0.002349950625
2023-09,DE01,Software,C002,Orion DE01,Core,1.8911449999999999,30,72896.73,0.0,0.0,0.0,0.0,72896.73,0.0,0.0,0.0,0.8448110624999999,123.16792784815122,0.0,0.0,0.0,0.0,72896.73,123.16792784815122,72773.56207215185,0.0016896221249999997
2023-09,DE01,Software,C003,Atlas DE01,Growth,2.7558400000000005,30,40590.2,0.0,0.0,0.0,0.0,40590.2,0.0,0.0,0.0,0.9853240000000001,79.9889964496,0.0,0.0,0.0,0.0,40590.2,79.9889964496,40510.211003550394,0.001970648
2023-09,DE01,Software,C004,Nimbus DE01,Strategic,1.0,30,226662.44999999998,0.0,0.0,0.0,0.0,226662.44999999998,0.0,0.0,0.0,0.7,317.32742999999994,0.0,0.0,0.0,0.0,226662.44999999998,317.32742999999994,226345.12256999998,0.0013999999999999998
2023-09,DE01,Software,C005,Summit DE01,Core,2.047655,30,79949.59,0.0,0.0,0.0,0.0,79949.59,0.0,0.0,0.0,0.8702439375,139.15129200622124,0.0,0.0,0.0,0.0,79949.59,139.15129200622124,79810.43870799377,0.001740487875
2023-09,DE01,Software,C006,Cobalt DE01,Core,2.081205,30,86756.78,0.0,0.0,0.0,0.0,86756.78,0.0,0.0,0.0,0.8756958125000001,151.9450979039675,0.0,0.0,0.0,0.0,86756.78,151.9450979039675,86604.83490209603,0.001751391625
